Aeroporto Anaa, Anaa, Polinésia Francesa
Aeroporto Arrabury, Arrabury, Austrália
Aquisgrano, Land Nordrhein-Westfalen, Alemanha
Aeroporto Les Salines, Annaba, Argélia
Aeroporto Campbell AAF, Hopkinsville, Estados Unidos
Aeroporto Forney AAF, Ft.Leonard Wood, Estados Unidos
Aeroporto Aachen/Merzbruck, Aquisgrano, Alemanha
Aeroporto Cayana Airstrip, Awaradam, Suriname
Aeroporto Aranuka, Aranuka, Kiribati
Aeroporto Aalborg, Ålborg, Dinamarca
Aeroporto Mala Mala, Mala Mala, África do Sul
Aeroporto Al Ain, Al Ain, Emirados Árabes Unidos
Aeroporto Anapa, Anapa, Rússia
Aarhus, Region Midtjylland, Dinamarca
Aeroporto Apalapsili, Apalapsili, Indonésia
Aeroporto Aasiaat, Egedesminde, Groenlândia
Aeroporto Altay, Altay, República Popular da China
Aeroporto Asau, Asau, Samoa
Aeroporto Allah Valley, Alah, Filipinas
Aeroporto Araxa, Araxá, Brasil
Aeroporto Al Ghaydah, Al Ghaydah, Iêmen
Abadiânia, Goiás, Brasil
Abaeté, Minas Gerais, Brasil
Abasto, Buenos Aires, Argentina
Abakan, Respublika Khakasiya, Rússia
El Carrizal de Abajo, Mendoza, Argentina
Sao Gonçalo do Rio Abaixo, Minas Gerais, Brasil
Abau, Papua-Nova Guiné
Abasolo, Guanajuato, México
Abbott, Buenos Aires, Argentina
Abbotsford, Canadá
Abbse, Iêmen
Abcoude, Provincie Utrecht, Holanda
Safi, Doukkala-Abda, Marrocos
Abelardo Luz, Santa Catarina, Brasil
Aberdeen, Texas, Estados Unidos
Adis Abeba, Adis Abeba Astedader, Etiópia
Aberdeen, Maryland, Estados Unidos
Abengourou, Moyen-Comoe, Costa do Marfim
Abeche, Ouaddai Region, Chade
Abemama Atoll, Kiribati
Aberdeen, Escócia, Reino Unido
Aeroporto Abaiang, Abaiang, Kiribati
Aeroporto Abingdon, Abingoon, Austrália
Aeroporto Alpha, Alpha, Austrália
Aeroporto Abha, Khamis Mushayat, Arábia Saudita
Abingoon, Austrália
Abingdon, Inglaterra, Reino Unido
Abidjan, Lagunes, Costa do Marfim
Abingdon, Virginia, Estados Unidos
Abilene, Texas, Estados Unidos
Sokhumi, Abecásia, Geórgia
Sokhumi, Abecásia, Geórgia
